Before (MED),,4467591.00,9408590.90,1041952.49,586637.25,27524154.45,434290.00,13565.00,118799.50,337672.13,2127276.00,92788.00,301881.00,524804.00,738698.25,14210.00,8941.00,616741.25,89883.75,3791741.29,1137635.20,267361.20,1738766.25,2184135.75,2772349.25,1354625.00,769212.50,13538135.76,590713.88,466095.75,4956979.25,20429.00,43394.50,15973277.06,5106280.07,8716500.94,59447.00,764400.00,20822612.93,114297.75,103864.00,208125.75,10237690.27,618388.00,306713.88,9281721.40,16684580.77,43049.25,38074.25,331840.25,44925.25,8059748.50,53014.38,3262554.75,3558012.03,7337115.42,2016076.22,52947.00,752093.75,498834.00,19381994.27,7421.25,5446.50,10743685.05,36663.00,2474207.50,0.00,840687.00,1798553.75,312625.50,67599.50,132478.00,2984.70,2949.00,1051026.50,4224452.63,262419.00,26255.75,598426.25,6301605.10,88711.00,27931.75,102475.50,89884.75,4267131.98,3943640.25,2548810.27,5066364.04,612388.24,939955.75,435244.50,5211156.29,553501.74,2818917.50,1977088.75,28571.00,476880.00,215493.00,620510.00,1443199.25,974360.78,31842971.34,3163125.03,16124154.76,24372.00,78156.75,274952.50,13768172.58,694500.76,3142103.53,14846112.25,120976.00,13304937.12,540941.50,418356.00,12762.25,138143.75,4844063.93,182116.00,431676.99,18335104.00,1450973.50,5637768.25,5115446.25,22358148.99,97168.75,3557201.74,8905131.67,1987449.50,14841010.88,2303730.84,4586185.50,40226.50,2097070.25,3926317.00,101440.50,833301.02,928394.50,24286.50,1535624.78,1173691.49,28857480.89,16812129.09,8242230.00,152528.24,34482.50,0.00,3663351.54,171605.63,1836.50,60990.00,6556.25,914134.75,1399394.74,10512787.10,0.00,92926.00,166054.00,3342180.75,2415988.75,1233026.25,5541922.22,305951.50,813592.00,44572.50,3204775.00,13638193.50,14661.50,1910895.75,10343692.12,1469399.25,58418.50,875210.76,1789437.50,5689486.69,34468.50,21182.25,2077584.00,29290846.81,392935.49,8244.75,1723443.50,208095.25,2672878.25,438984.13,1818817.99,3029932.25,23856616.50,2768564.50,750112.00,37688.75,127000.00,1822701.50,25538303.24,4214572.75,3290401.59,10367003.91,142705.50,25570.50,30824.23,2608966.50
After (MED),,5010874.65,15282983.87,3119710.00,492941.75,19081019.77,519178.50,15588.75,174899.50,128856.00,6114393.50,130468.75,364170.74,786229.76,1338142.50,16725.00,47830.00,552898.00,255642.50,1985916.26,682191.88,168261.75,1154525.00,2585316.25,3311940.50,876892.50,1561620.00,11319802.65,612245.00,910428.75,7128122.75,18654.00,38443.75,12024484.89,6779565.75,17362336.00,48486.25,493986.88,11731543.75,318424.00,73556.50,152428.00,12035291.10,201860.00,202277.03,8366190.00,7805650.59,63600.00,11308.75,272780.00,61570.00,4216375.00,75347.50,8657836.21,5326715.05,9083511.36,2270139.98,245105.00,1313314.98,1255646.26,18715038.92,101341.00,11535.00,15015906.00,23062.50,2859892.50,0.00,1831507.25,1633261.24,351206.25,367979.75,82876.25,2483.75,5444.75,3111828.50,5450719.91,158223.35,91790.00,1053846.25,9650155.71,122922.50,113207.50,135171.00,67021.25,7773700.72,4020006.25,1481290.01,11643494.01,2260125.00,1534076.25,641898.75,8863627.56,499709.75,4393545.00,2931717.50,60052.50,485047.50,495605.00,1346117.50,2648808.72,1049096.50,32058348.70,5100672.42,23433357.43,32820.00,197517.50,790548.75,14049328.75,1300462.48,8351503.86,16135059.66,134005.50,17238271.43,783815.25,952412.50,9100.00,65395.00,5728607.50,250040.01,800249.50,31530782.35,1900702.50,9337983.94,8319027.75,24884210.15,213388.26,4707922.60,19887335.57,2635567.50,10770595.78,2904212.55,8077972.25,165057.50,2786651.29,4880453.70,194471.25,720817.53,693065.63,31246.25,3402825.00,1806400.01,28946149.14,16562475.00,14301534.81,296193.75,50533.00,7208.88,2188388.78,89406.25,7368.00,42840.00,32496.75,964512.00,1131672.54,13767288.91,0.00,52960.00,438580.00,4258830.00,4204936.25,1200328.75,11421100.07,466153.75,941872.50,107708.75,7768983.87,11589419.38,30611.50,2444493.75,23261266.26,1337737.50,47602.50,1095587.52,1356868.00,6599776.19,69357.50,32327.50,1702041.25,38865649.56,397317.51,24115.00,2910974.99,1163881.25,2890731.25,703868.75,1419962.52,2605274.63,25696807.44,4039562.50,366770.00,25350.00,189662.50,1112678.75,25019001.14,4451065.75,3245886.50,10263977.53,387792.50,15657.00,14320.00,5443482.50
Difference,,543283.65,5874392.97,2077757.51,-93695.50,-8443134.68,84888.50,2023.75,56100.00,-208816.13,3987117.50,37680.75,62289.73,261425.76,599444.25,2515.00,38889.00,-63843.25,165758.75,-1805825.03,-455443.33,-99099.45,-584241.25,401180.50,539591.25,-477732.50,792407.50,-2218333.11,21531.13,444333.00,2171143.50,-1775.00,-4950.75,-3948792.17,1673285.68,8645835.06,-10960.75,-270413.13,-9091069.18,204126.25,-30307.50,-55697.75,1797600.84,-416528.00,-104436.85,-915531.40,-8878930.18,20550.75,-26765.50,-59060.25,16644.75,-3843373.50,22333.13,5395281.46,1768703.02,1746395.94,254063.76,192158.00,561221.23,756812.26,-666955.35,93919.75,6088.50,4272220.95,-13600.50,385685.00,0.00,990820.25,-165292.51,38580.75,300380.25,-49601.75,-500.95,2495.75,2060802.00,1226267.28,-104195.65,65534.25,455420.00,3348550.62,34211.50,85275.75,32695.50,-22863.50,3506568.74,76366.00,-1067520.26,6577129.98,1647736.76,594120.50,206654.25,3652471.27,-53791.99,1574627.50,954628.75,31481.50,8167.50,280112.00,725607.50,1205609.47,74735.72,215377.36,1937547.39,7309202.68,8448.00,119360.75,515596.25,281156.17,605961.72,5209400.33,1288947.40,13029.50,3933334.31,242873.75,534056.50,-3662.25,-72748.75,884543.57,67924.01,368572.51,13195678.35,449729.00,3700215.69,3203581.50,2526061.16,116219.51,1150720.86,10982203.90,648118.00,-4070415.10,600481.71,3491786.75,124831.00,689581.04,954136.70,93030.75,-112483.48,-235328.88,6959.75,1867200.23,632708.52,88668.25,-249654.09,6059304.81,143665.51,16050.50,7208.88,-1474962.76,-82199.38,5531.50,-18150.00,25940.50,50377.25,-267722.20,3254501.81,0.00,-39966.00,272526.00,916649.25,1788947.50,-32697.50,5879177.86,160202.25,128280.50,63136.25,4564208.87,-2048774.13,15950.00,533598.00,12917574.13,-131661.75,-10816.00,220376.75,-432569.50,910289.50,34889.00,11145.25,-375542.75,9574802.75,4382.02,15870.25,1187531.49,955786.00,217853.00,264884.62,-398855.46,-424657.63,1840190.93,1270998.00,-383342.00,-12338.75,62662.50,-710022.75,-519302.10,236493.00,-44515.09,-103026.38,245087.00,-9913.50,-16504.23,2834516.00
,," 84,888.50 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Positive,139.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00
,69.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Before (AVG),,4591041.922,9351222.368,1255282.505,608145.1333,66230949.14,2389466.083,24433.81666,164237.4661,361779.3283,2216557.55,99100.71667,347718.5704,578459.716,1078585.767,63104.08345,19243.61667,744586.6667,124283.3342,4122917.683,1235555.177,318643.135,2077414.967,3324879.119,3373732.383,1646064.717,991963.8833,16545385.88,1009340.987,511342.25,5518347.167,50787.85,84701.08333,24887445.81,6272723.82,10951490.34,143166.89,983040.51,23419372.2,163097.6162,219224.8333,214739.9667,12743551.8,659299.1167,603664.52,11846034.79,20106158.01,63646.05,63152.16667,323846.1633,84890.31333,10049080.73,57577.76167,4386635.915,4606227.448,8935718.92,2180245.5,71170.33333,828982.3017,829721.3194,23018832.3,28063.75,16743.51667,15585181.99,42086.38333,2720379.2,4557.966677,904378.45,1849379.531,696999.78,5059662.833,165964.1,59835.71167,685641.7633,1505955.333,4620528.199,404761.5733,105514.8141,804389.0833,7911901.466,125183.9283,94254.16667,131030.2333,199871.75,6562069.876,4697075.417,3201101.284,5469922.076,709484.5037,1055700.7,620953.0667,5683556.725,759803.8116,3652521.433,2377971,54407.1,838235.3333,262979.0333,748511.0833,1689834.814,1034503.367,34771100.24,4041196.092,17117199.55,62082.7,123285.4668,340170.0167,14948740.97,1005349.837,3637255.218,27178939.39,143403.7517,14965333.97,731105.4167,576023.85,30012,181511.8482,5158509.164,198203.8498,1400642.048,25989485.12,1635428.983,6011772.49,6581346.483,26526604.89,143218.9993,4190366.784,8953197.615,2264216.567,17895190.36,3362552.78,5562268.25,127759.4333,2337708.092,4733812.121,204922.85,1204784.403,1032357.565,56066.48333,1748690.868,1594497.119,35424057.41,25195894.86,9581379.617,335191.2671,48228.38357,84768.43333,4173810.405,237921.6233,8747.583333,72042.86667,27623.91667,1426214.383,1462736.036,12178293.49,8548.150088,162504.8167,258864.2733,3972960.317,2956701.567,1271197.7,6269882.242,372085.4667,942643.035,68025.79927,3486842.3,15299030.68,37896.04949,2464319.587,11697689.25,2099149.933,106354.5685,1606117.433,2224589.2,5910255.024,79627.93333,47339.3,2285881.843,33437258.93,585100.6961,18915.13333,2311738.118,254508.4833,3131683.683,559930.897,2867638.352,4064151.035,27941756.54,4003706.686,941540.55,66861.58333,223611.4667,1812091.367,25891921.88,4741117.823,4541903.704,11884647.96,349516.15,45539.95,49210.2215,2919395.217
After (AVG),,5002187.913,17470885.01,3094395.056,589675.0167,20934231,886565.0667,29890.01643,190578.7826,194682.9233,10777072.85,173238.4,396089.808,937645.4047,1665654.317,53770.01669,68144.95,673906.5333,357174.9159,2351162.97,704750.5767,198082.4333,1410159.967,3990205.267,4124803.283,1225831.767,1682781.417,12682749.24,709531.9438,965837.7685,8175793.567,29753.81667,101276.2,13010733.85,8236052.385,17706166.65,125543.6767,603027.2017,28639955.37,482261.1455,98743.875,187452.3333,13440885.54,851139.9833,297587.905,12025288.33,8622352.047,76381.75,34781.7,313448.91,104521.655,6032353.35,94910.93333,9887628.124,6312612.826,10912753.11,2907695.08,314364.5,1556705.743,1536682.964,19087455.55,123886.0167,24018.81667,15342608.17,37152.51667,3517845.133,1434.166702,2467053.1,1961610.496,450302.0733,634121.7833,107993.0167,25130.59167,343129.3167,3824563.36,6340288.984,237523.2367,114462.6498,1089024.117,9963133.021,329658.6667,167643.45,140346.9,94571,8115689.962,4354567.367,1530166.691,11784666.78,2353762.854,1686637.167,967252.7833,9442516.156,697501.628,4766725.85,7035729.229,92344.35,796217.0333,533530.5833,1765103.583,3112677.815,1110605.213,34311895.8,5492238.322,23485712.83,44267.05,209554.3179,1157449.435,15556503.6,1473102.337,7994298.868,18118914.46,175330.415,18170753.02,1010755.817,978187.0167,15085.36667,109308.6661,6330344.944,357178.6841,938460.0645,34152639.3,2022418.117,9331471.73,10862797.83,27591514.07,248252.75,6467971.425,18068285.99,2987770.667,11058280.22,3136026.079,8651586.867,204380.0667,3263831.484,6645059.936,263489.85,896032.5188,898255.0933,51396.05,3541050.592,2547569.417,31391707.43,20759271.45,15268941.08,724299.6635,71523.45006,116198.235,3270357.382,107700.9367,41663.8,60245.91667,64150.65,1120668.517,1226511.559,14265415.7,5524.166733,69496.26667,474429.0883,4777926.188,4859377.45,1277317.983,12778362.06,452783.2667,958408.9333,181845.0807,9115486.769,12590900.67,53159.23289,3018142.546,23163297.87,3230709.933,71237.65683,1327285.583,1445506.567,6957894.508,128310.8833,54048.06667,1840787.267,44287593.69,505508.0991,39284.83333,3329212.979,1908119.35,3481255.2,858330.1271,1635456.833,2493107.442,31670630.24,4932058.128,442510.5,43365,310848.2484,1355279.433,30448703.11,10872489.62,3535596.8,10553494.72,654870.6167,19739.83333,17751.29883,8070871.298
,Median,Average,ABCO.Volume,ADUS.Volume,ADVM.Volume,AERI.Volume,AEZS.Volume,AIRT.Volume,ALCO.Volume,ALDX.Volume,AMCC.Volume,APDN.Volume,APPF.Volume,AROW.Volume,ARTX.Volume,ASBB.Volume,ASRV.Volume,ATAX.Volume,ATLO.Volume,ATRI.Volume,AVGR.Volume,AXSM.Volume,AXTI.Volume,AYA.Volume,BCOV.Volume,BDSI.Volume,BHBK.Volume,BJRI.Volume,BLBD.Volume,BOOM.Volume,BPFH.Volume,BVSN.Volume,BYBK.Volume,CALM.Volume,CARB.Volume,CCOI.Volume,CDNA.Volume,CDTX.Volume,CEMP.Volume,CFFI.Volume,CFRX.Volume,CGIX.Volume,CHDN.Volume,CHKE.Volume,CHMA.Volume,CHRS.Volume,CLCD.Volume,CLRO.Volume,CLWT.Volume,CMFN.Volume,CNFR.Volume,CONN.Volume,COVS.Volume,CPLA.Volume,CPSI.Volume,CRAY.Volume,CRVL.Volume,CRWS.Volume,CTBI.Volume,CUNB.Volume,CVLT.Volume,CWAY.Volume,CYAN.Volume,CYNO.Volume,CYRN.Volume,CYTK.Volume,DGICB.Volume,DGII.Volume,DMRC.Volume,DMTX.Volume,DRWI.Volume,DXYN.Volume,EACQ.Volume,EAGL.Volume,EBSB.Volume,EGBN.Volume,EIGR.Volume,ENFC.Volume,ENOC.Volume,ENTG.Volume,ENZY.Volume,ESXB.Volume,EVOL.Volume,EXFO.Volume,EXPO.Volume,EZPW.Volume,FARM.Volume,FFIN.Volume,FISI.Volume,FLWS.Volume,FMNB.Volume,FNGN.Volume,FONR.Volume,FORM.Volume,FRP.Volume,FUNC.Volume,FVE.Volume,GIFI.Volume,GLDD.Volume,GLRE.Volume,GPP.Volume,HA.Volume,HAFC.Volume,HBHC.Volume,HBK.Volume,HNH.Volume,HTBI.Volume,HWAY.Volume,IBCP.Volume,IBOC.Volume,ICUI.Volume,IOTS.Volume,ITRI.Volume,IXYS.Volume,JIVE.Volume,JTPY.Volume,KEQU.Volume,LABL.Volume,LCNB.Volume,LMRK.Volume,LOGM.Volume,LPSN.Volume,MATW.Volume,MDCA.Volume,MEOH.Volume,MFSF.Volume,MGEE.Volume,MGLN.Volume,MITK.Volume,MLHR.Volume,MMLP.Volume,MNTA.Volume,MSON.Volume,MTRX.Volume,MTSC.Volume,NBN.Volume,NCOM.Volume,NEOS.Volume,NTIC.Volume,NVCR.Volume,NVEE.Volume,OLED.Volume,OLLI.Volume,ONB.Volume,ORRF.Volume,OVBC.Volume,PAAC.Volume,PCMI.Volume,PCYO.Volume,PERF.Volume,PESI.Volume,PFBX.Volume,PICO.Volume,PKOH.Volume,PNFP.Volume,PNRG.Volume,PNTR.Volume,PRTO.Volume,RECN.Volume,REGI.Volume,RGLS.Volume,ROCK.Volume,RTIX.Volume,RXDX.Volume,SAL.Volume,SCMP.Volume,SEDG.Volume,SFBC.Volume,SGRY.Volume,SHOO.Volume,SIGM.Volume,SNFCA.Volume,SPOK.Volume,SRNE.Volume,SSB.Volume,SSBI.Volume,SSFN.Volume,STML.Volume,STMP.Volume,STRT.Volume,SVBI.Volume,SYBT.Volume,SYUT.Volume,TAST.Volume,TBK.Volume,TCX.Volume,TGTX.Volume,TREE.Volume,TRS.Volume,TTNP.Volume,TWMC.Volume,ULH.Volume,USAT.Volume,USCR.Volume,VASC.Volume,VDSI.Volume,WDFC.Volume,WNEB.Volume,WSCI.Volume,XELB.Volume,XXIA.Volume
