"","ABCO.Volume","ADUS.Volume","ADVM.Volume","AERI.Volume","AEZS.Volume","AIRT.Volume","ALCO.Volume","ALDX.Volume","AMCC.Volume","APDN.Volume","APPF.Volume","AROW.Volume","ARTX.Volume","ASBB.Volume","ASRV.Volume","ATAX.Volume","ATLO.Volume","ATRI.Volume","AVGR.Volume","AXSM.Volume","AXTI.Volume","AYA.Volume","BCOV.Volume","BDSI.Volume","BHBK.Volume","BJRI.Volume","BLBD.Volume","BOOM.Volume","BPFH.Volume","BVSN.Volume","BYBK.Volume","CALM.Volume","CARB.Volume","CCOI.Volume","CDNA.Volume","CDTX.Volume","CEMP.Volume","CFFI.Volume","CFRX.Volume","CGIX.Volume","CHDN.Volume","CHKE.Volume","CHMA.Volume","CHRS.Volume","CLCD.Volume","CLRO.Volume","CLWT.Volume","CMFN.Volume","CNFR.Volume","CONN.Volume","COVS.Volume","CPLA.Volume","CPSI.Volume","CRAY.Volume","CRVL.Volume","CRWS.Volume","CTBI.Volume","CUNB.Volume","CVLT.Volume","CWAY.Volume","CYAN.Volume","CYNO.Volume","CYRN.Volume","CYTK.Volume","DGICB.Volume","DGII.Volume","DMRC.Volume","DMTX.Volume","DRWI.Volume","DXYN.Volume","EACQ.Volume","EAGL.Volume","EBSB.Volume","EGBN.Volume","EIGR.Volume","ENFC.Volume","ENOC.Volume","ENTG.Volume","ENZY.Volume","ESXB.Volume","EVOL.Volume","EXFO.Volume","EXPO.Volume","EZPW.Volume","FARM.Volume","FFIN.Volume","FISI.Volume","FLWS.Volume","FMNB.Volume","FNGN.Volume","FONR.Volume","FORM.Volume","FRP.Volume","FUNC.Volume","FVE.Volume","GIFI.Volume","GLDD.Volume","GLRE.Volume","GPP.Volume","HA.Volume","HAFC.Volume","HBHC.Volume","HBK.Volume","HNH.Volume","HTBI.Volume","HWAY.Volume","IBCP.Volume","IBOC.Volume","ICUI.Volume","IOTS.Volume","ITRI.Volume","IXYS.Volume","JIVE.Volume","JTPY.Volume","KEQU.Volume","LABL.Volume","LCNB.Volume","LMRK.Volume","LOGM.Volume","LPSN.Volume","MATW.Volume","MDCA.Volume","MEOH.Volume","MFSF.Volume","MGEE.Volume","MGLN.Volume","MITK.Volume","MLHR.Volume","MMLP.Volume","MNTA.Volume","MSON.Volume","MTRX.Volume","MTSC.Volume","NBN.Volume","NCOM.Volume","NEOS.Volume","NTIC.Volume","NVCR.Volume","NVEE.Volume","OLED.Volume","OLLI.Volume","ONB.Volume","ORRF.Volume","OVBC.Volume","PAAC.Volume","PCMI.Volume","PCYO.Volume","PERF.Volume","PESI.Volume","PFBX.Volume","PICO.Volume","PKOH.Volume","PNFP.Volume","PNRG.Volume","PNTR.Volume","PRTO.Volume","RECN.Volume","REGI.Volume","RGLS.Volume","ROCK.Volume","RTIX.Volume","RXDX.Volume","SAL.Volume","SCMP.Volume","SEDG.Volume","SFBC.Volume","SGRY.Volume","SHOO.Volume","SIGM.Volume","SNFCA.Volume","SPOK.Volume","SRNE.Volume","SSB.Volume","SSBI.Volume","SSFN.Volume","STML.Volume","STMP.Volume","STRT.Volume","SVBI.Volume","SYBT.Volume","SYUT.Volume","TAST.Volume","TBK.Volume","TCX.Volume","TGTX.Volume","TREE.Volume","TRS.Volume","TTNP.Volume","TWMC.Volume","ULH.Volume","USAT.Volume","USCR.Volume","VASC.Volume","VDSI.Volume","WDFC.Volume","WNEB.Volume","WSCI.Volume","XELB.Volume","XXIA.Volume"
"2016-09-19",116600,72700,110000,2542000,72900,1000,8100,58100,395000,78600,20400,27700,58500,400,5500,201500,1100,12600,205500,23100,503500,49500,262000,443400,87100,234800,54100,49300,289500,6200,25400,376500,243900,253000,5500,72500,718200,4600,221800,134300,77100,65600,35400,448700,1612100,8500,21300,38100,5800,871400,30200,67200,257500,360000,47700,500,17700,21900,354200,0,5100,184200,50800,260900,200,55000,57000,237700,11800,56200,100,1e+05,95900,76600,36000,4300,108200,376800,27800,10400,35100,9900,54800,635000,82000,90000,11600,213300,73400,231500,57600,293000,72800,7200,122000,38700,120900,50900,56600,553100,71000,870900,0,9800,14500,684100,41200,102500,59500,29100,386500,69300,184100,700,37600,71300,17200,35400,348600,199400,106500,438500,552800,3500,71200,219100,280000,257000,165300,361900,32300,122400,76000,6100,35300,154900,100,263700,134700,564800,707500,579300,17400,1600,0,157000,10900,2300,12000,16000,632900,33800,161400,0,16600,26400,187400,329400,537000,173300,96500,325100,1700,360600,1337900,0,166900,203800,480500,22700,75500,434500,93500,3500,4500,207400,403300,8500,500,44000,11900,388900,27000,31600,432400,502200,192200,359300,44500,3300,626100,502500,54300,107900,62000,22700,2200,11400,195100
"2016-09-20",155700,30800,214000,4341200,124700,0,12500,105200,290800,30500,19000,25400,407800,1200,1900,189000,1000,10300,235200,113000,250300,80900,387200,682800,32000,216200,491000,101600,267600,5400,11200,222100,271600,231100,9200,52400,833100,600,30700,132900,75400,62200,39200,592000,1656000,0,13400,58500,4500,603500,23100,37400,484900,312400,32500,6000,10800,15600,221400,1300,1000,259400,36900,304100,0,74600,42700,39500,22800,8300,2400,0,82500,62700,25100,100,67000,447300,8500,0,54200,5400,51300,350700,134100,79400,15500,148300,19200,194100,23800,600100,90800,3700,13000,58000,149300,61600,73700,372500,150000,472200,1300,2900,10700,1629000,36300,111400,129600,22400,186200,28600,62200,7200,5200,75400,11700,20900,259200,196600,101500,434400,834900,3000,68000,199600,185300,1224900,87100,444700,22100,116200,73000,2100,44400,209800,0,114200,56500,400500,938200,385000,7100,700,0,154900,26000,0,5900,12200,111700,44500,162500,100,18100,37000,90100,206300,532100,278200,65100,361600,2100,221800,693400,400,163100,180800,936300,2600,65100,662700,48600,600,1300,141900,429000,4300,3700,27600,16000,167400,28700,26500,441300,359900,115600,416000,2000,3700,515800,799100,81900,123800,85500,15400,10300,16700,231500
"2016-09-21",310500,45500,159100,3351400,119500,300,12300,46500,312200,15800,17900,29100,250200,0,2900,102200,2700,10900,176100,59500,820600,139700,329200,399200,54000,277000,59600,92600,377500,1500,9000,344100,375400,242500,444300,105000,734300,6400,13400,62300,62000,17900,79000,391000,1489400,8600,46500,54900,300,5527100,25700,85200,223600,480800,49900,3300,15900,19900,343800,0,2000,260100,27100,233100,0,119500,54100,199800,10700,12200,2300,2500,69500,102000,13300,400,67000,290000,3300,7900,50600,2700,69200,365300,157900,163600,21100,121400,47700,204800,38100,407200,119700,1000,67100,42600,87300,73900,44100,388100,181400,609600,1100,2200,19000,441300,43700,112200,84800,42900,224200,43600,70100,25100,4800,149500,10300,23400,224600,278200,132300,891400,1308500,1400,58200,226700,260800,834800,169800,508700,23800,115300,116500,0,44100,227700,0,128200,45500,397700,916600,676800,11200,600,5000,185300,153600,700,22400,4000,173000,22300,158400,0,12800,8500,99700,764900,369500,295000,105500,246700,1600,161100,673500,0,82000,222700,747800,1600,98800,515700,90000,27300,300,129300,440300,4100,2900,39900,24500,363300,22600,44300,318600,367000,756900,256000,51100,5400,542400,647900,83700,194700,143200,20400,11300,1700,310400
"2016-09-22",313700,60600,93900,1991200,137600,2100,4200,21200,220800,25900,26700,14900,118600,0,13300,93000,2800,3900,298100,52400,405300,46400,426700,551600,57700,303100,61900,40500,521400,1300,5900,450100,322600,321900,121400,40600,769400,3100,64800,49900,73500,20400,51300,288800,878400,5300,31800,20400,25500,1439600,23900,59700,192000,790500,54100,5300,35600,27700,478800,500,30600,190500,30100,227200,0,78500,46100,76700,14000,47300,100,0,129900,158700,20400,300,100300,354900,38600,4800,68500,51100,90900,643700,156300,192300,30300,140100,64600,194600,36700,1188800,54700,3500,80400,37300,191600,60600,81100,489400,131200,719200,3200,6100,31600,627500,68800,175400,96300,29900,246400,58800,340700,13100,6500,113600,18700,20300,506600,267400,161900,714200,785900,16700,52800,168700,297300,2225000,102200,566700,8400,101200,75000,12900,36400,285200,6600,310500,109900,486400,666600,730900,6200,800,3000,152400,62600,0,27500,100,99900,28700,308400,0,20300,173400,99300,298600,375000,166800,138200,140100,2100,372400,766700,0,83300,570100,358100,7300,161700,409500,80000,12200,5300,109000,903100,29300,2100,83600,93700,435600,43100,59600,241100,370900,129300,132100,10300,62700,534200,628100,201100,201100,97300,21200,11400,5900,431900
"2016-09-23",261500,113200,337400,1159500,58800,1100,6600,97200,305500,34300,12300,28800,94800,0,2000,127800,2700,5200,269500,13100,167300,101200,305700,1988200,92600,399300,37200,15800,352200,300,3700,533400,616500,220200,16600,56800,903300,1000,66800,45100,56700,7100,723200,196800,784900,200,3200,21500,43500,756100,36300,45800,123000,1671900,46600,4400,15000,24600,372100,2500,200,252200,11700,279800,100,72600,38600,40600,9100,25600,500,0,68200,70500,12100,300,570600,293400,20500,1600,47200,3100,81100,472900,174700,139200,12500,1e+05,48300,182500,26300,388500,220500,11400,37800,15800,83400,64800,63400,536200,62100,594600,2100,8000,15000,291600,64100,107800,89700,26100,255900,44300,213900,6400,7100,144900,12100,17000,205600,199300,111000,424900,1022200,3500,57300,126800,195000,1131300,73400,379300,15800,136600,47300,300,26000,205900,0,155100,30000,679300,988800,796800,7100,2000,0,144200,234500,0,1200,700,124800,42200,164900,0,16800,39600,97600,1118500,358000,111400,76600,153900,1600,211800,1052000,0,64600,382100,242400,4700,92700,198900,89200,2000,500,104500,366000,13600,1400,33900,51700,338700,16100,211200,245000,307400,128500,257600,9600,20100,327500,332600,84100,169100,63200,14400,7600,7200,192400
"2016-09-26",224300,68900,141100,945200,113800,200,2500,124900,191400,30200,14000,26000,70800,1200,21300,124800,5200,9300,262200,14500,116900,50600,139300,519900,37100,154200,36500,46900,388300,200,12700,1613800,330500,209600,57200,45900,593500,2000,120400,350100,97400,44200,812200,265200,563400,20800,21800,9500,17500,1110200,15700,52400,109300,544500,36400,4100,16800,31800,324100,400,500,203500,40000,228800,300,45500,54900,26100,71300,44300,0,2000,76000,135600,25500,200,120500,425100,29700,1400,59800,2500,50900,412200,143600,113700,50900,110800,56700,160600,43800,300800,88000,16000,35900,22900,329000,77300,35600,529200,123800,542300,0,5500,20300,482800,74100,115200,80800,51800,287300,50100,90900,200,5500,112400,7700,10000,268400,188100,98700,285800,545100,7200,74100,231400,207300,833500,83700,311100,32200,143900,68400,5900,24000,264000,200,173700,20400,424100,478900,838100,21300,0,0,152400,35400,0,12900,200,64700,93500,143800,0,38100,29300,102800,975400,285500,120700,88500,123200,700,257900,675800,400,79000,401700,252500,10400,107200,165600,78600,700,2800,82000,372300,8400,1700,43700,31800,416400,15300,299600,214500,324900,356400,83600,22700,15000,333300,538500,82500,238400,61400,31700,33700,6000,207600
"2016-09-27",166100,44100,186200,1812700,75500,0,4000,50700,203100,34200,13200,26700,138500,7200,500,183800,8200,4200,630300,48400,152700,116800,188700,839300,42100,400800,24900,27900,266700,4300,78500,942600,262900,299000,28100,31000,1279000,1800,571500,227900,109300,29700,394400,495700,448500,2200,31600,41400,29500,769200,46800,51200,135100,464700,42200,2100,20500,20800,504800,6300,1600,201800,16400,308800,0,65600,43900,23200,22700,26800,600,0,50400,133800,17000,1900,212000,660900,37700,25600,48500,1000,73600,351000,61400,140400,26900,163900,135000,139000,25700,463800,254400,9500,95400,27500,128500,75000,47400,833300,80300,489100,17300,3100,17200,282000,152800,91200,103900,45100,286000,78600,89300,5000,6400,76700,4800,18000,360400,283600,179900,1272000,1553600,3400,118900,120100,242300,590400,94400,319200,900,93800,60800,2400,41400,130300,1800,197200,18600,438600,409600,554700,30000,500,0,269500,38300,3400,5900,6100,71100,50700,217100,200,7700,23400,101200,277000,418100,131300,50800,85900,800,287100,578500,1300,54700,225200,348300,20800,85400,201000,37900,10400,8100,114100,266600,18700,3800,46900,32300,329200,11500,138600,237200,253200,1010400,96000,1000,11900,262200,646800,87300,298700,131600,19800,700,4000,383600
"2016-09-28",256900,147000,120300,1055100,139200,1100,15400,58000,235900,14100,12700,15200,86000,1800,2100,101300,9500,11400,397900,45600,257000,91300,339400,1218600,36400,571500,27200,79800,386900,3100,41100,1067400,221800,227500,50100,33200,1049200,4900,230100,127700,54600,41900,196300,385000,526500,5200,25100,41500,9000,903400,23800,59600,258500,242800,32500,3000,26700,17500,223400,400,1200,139000,13200,401200,0,97300,125900,26400,39300,18300,1200,13900,66500,141700,14200,5300,121400,685900,26600,9100,38400,2100,44200,909500,111800,127300,33000,77100,38000,146100,18700,439600,64600,22500,79700,15700,130600,56100,55900,1107500,118500,436400,1500,3400,19200,740400,75300,90900,150900,7200,433400,296100,89800,400,6000,102200,15200,26600,601900,261900,115500,858600,1934000,6400,75100,122900,750300,526300,119900,332500,23600,285200,70200,61200,16800,160200,16000,163900,57500,487200,453300,1188300,13900,2200,226900,149500,71200,300,22800,500,74700,54100,289100,200,7100,16600,91900,286500,434500,110100,213300,86300,2100,244000,889200,100,116700,258600,393600,59700,50700,152200,64000,1400,19800,236400,308800,10000,2000,55400,18800,180100,12900,344200,283800,385500,397200,97300,1700,41200,318300,501400,53400,165300,109800,26800,70700,5900,345100
"2016-09-29",293800,47300,147400,1066900,86200,1000,4500,31300,322800,37400,17300,18700,1e+06,900,13000,80100,1900,15700,201000,47500,217900,262900,197500,1033300,83500,520800,33400,26400,354700,2400,12600,984300,220300,251000,28100,57200,1505800,4600,76800,92600,202400,23600,125300,630500,465400,0,15300,40100,6500,942200,20300,47200,126400,524200,23700,9600,17000,12100,216900,4900,300,191900,20600,592400,200,80400,49700,213400,25800,20300,10800,5600,47500,158000,8400,6100,261100,355000,35200,600,26800,654100,61300,1052700,47000,94100,19600,179800,63300,134600,33400,385700,93700,11300,25900,21600,73300,71800,36000,507300,81700,401900,3200,11100,13700,623500,90400,97400,101200,23700,226200,43900,128500,19600,1900,55100,10800,11800,144600,148600,75600,1987600,1460500,1300,62200,106000,268800,378600,91700,383600,5500,163500,49300,64600,26800,128200,7100,224000,31300,1035500,623200,1183000,7500,1500,2000,183000,31900,100,2100,0,77200,36800,222600,800,600,19700,46200,414500,417200,124800,75000,135200,2400,255600,1533300,700,34600,270500,244400,10600,50500,211900,77700,2700,11000,212600,287000,3000,1700,54700,20800,255600,20500,173500,230000,353100,126600,92700,1300,17300,405300,454200,70300,191500,53800,43500,1900,29000,471700
"2016-09-30",172400,76700,188300,733300,45000,0,9100,54100,633200,27100,17300,30400,254000,1400,2500,186100,8200,13800,252800,34200,494300,169400,222100,812400,74200,546300,30600,27900,420000,34800,5400,1068800,505100,315500,41100,22700,1651800,4000,70400,131900,194500,66500,354900,264600,768600,4700,7500,34000,32700,807200,53800,55900,199300,350300,49700,1800,27700,56500,341800,1500,0,210500,34600,665300,0,121200,67200,291500,9200,28800,1400,1100,116600,92000,73300,1000,160300,353600,58000,5500,88300,8900,119200,1083000,100200,199100,50300,123300,140800,180500,40200,350700,298100,3700,62300,19900,213500,109300,48200,526600,105200,545800,16600,12900,35600,930600,311800,169800,101900,134600,357300,123900,154300,39500,8500,102300,10400,19100,281800,325700,91000,734800,1169600,7700,150600,165800,284600,482200,110200,345200,2500,175500,124000,15600,186300,155900,11000,298400,60500,2286300,642400,947600,14500,1600,100,221200,77600,0,500,1800,87700,75300,280000,0,400,9000,229500,398700,343300,181100,127400,234100,100,291500,637400,0,134900,245000,353000,4300,137900,422700,148900,2700,44900,181700,342800,23000,1100,51300,51000,235600,23200,76200,245200,382800,265900,131100,2500,10500,619900,563600,124400,261200,75500,30300,2300,17900,231600
